,artist,year,song,danceability
266,P!nk,2001,Get the Party Started,0.802
267,Alicia Keys,2001,A Woman's Worth,0.652
268,Daniel Bedingfield,2002,Gotta Get Thru This - D'N'D Radio Edit,0.838
269,Coldplay,2002,Clocks,0.577
270,Missy Elliott,2002,Work It,0.884
271,Ronan Keating,2002,If Tomorrow Never Comes,0.555
272,Big Tymers,2002,Still Fly,0.675
273,Creed,2001,My Sacrifice,0.32
274,Ja Rule,2001,Always On Time,0.839
275,Ashanti,2002,Foolish,0.665
276,Avril Lavigne,2002,Sk8er Boi,0.487
277,DJ Sammy,2002,Heaven,0.571
278,Britney Spears,2001,"I'm Not a Girl, Not Yet a Woman",0.534
279,Cam’ron,2002,Oh Boy,0.754
280,Red Hot Chili Peppers,2002,By the Way,0.451
281,Elvis Presley,2002,A Little Less Conversation - JXL Radio Edit Remix,0.597
282,Atomic Kitten,2002,The Tide Is High - Radio Mix,0.783
283,*NSYNC,2001,Girlfriend,0.745
284,Robbie Williams,2001,Somethin' Stupid,0.654
285,Alanis Morissette,2002,Hands Clean,0.513
286,Usher,2001,U Don't Have to Call,0.793
287,Creed,2015,One Last Breath - Radio Version,0.38
288,The Goo Goo Dolls,2002,Here Is Gone,0.338
289,Puddle Of Mudd,2001,She Hates Me,0.58
290,Ludacris,2001,Rollout (My Business),0.921
291,Blazin' Squad,2012,Crossroads - Radio Edit,0.661
292,Default,2001,Wasting My Time,0.443
293,Michelle Branch,2001,All You Wanted,0.499
294,Daniel Bedingfield,2002,If You're Not The One,0.688
295,Enrique Iglesias,2001,Escape,0.776
296,Puddle Of Mudd,2001,Blurry,0.432
297,Coldplay,2002,In My Place,0.424
298,Outkast,2001,The Whole World (feat. Killer Mike),0.814
299,P!nk,2001,Don't Let Me Get Me - Radio Edit,0.624
300,50 Cent,2003,In Da Club,0.899
301,Sean Paul,2002,Get Busy,0.735
302,Eminem,2004,"Lose Yourself - From ""8 Mile"" Soundtrack",0.686
303,Beyoncé,2003,Crazy In Love (feat. Jay-Z),0.646
304,Counting Crows,2003,Big Yellow Taxi,0.669
305,Black Eyed Peas,2003,Where Is The Love?,0.835
306,Jennifer Lopez,2002,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,0.845
307,Black Eyed Peas,2003,Shut Up,0.81
308,t.A.T.u.,2020,All The Things She Said,0.527
309,Benny Benassi,2003,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,0.793
310,Busta Rhymes,2002,I Know What You Want (feat. Flipmode Squad),0.648
311,Panjabi MC,2003,Mundian to Bach Ke,0.778
312,Mis-Teeq,2004,Scandalous - U.S. Radio Edit,0.734
313,JAY-Z,2002,03' Bonnie & Clyde,0.759
314,50 Cent,2003,P.I.M.P.,0.712
315,Jamelia,2003,Superstar,0.801
316,Linkin Park,2003,Faint,0.554
317,DMX,2007,X Gon' Give It To Ya,0.761
318,Evanescence,2003,Bring Me To Life,0.331
319,Sugababes,2003,Hole In The Head,0.785
320,Craig David,2002,Rise & Fall (feat. Sting),0.405
321,Three Days Grace,2003,I Hate Everything About You,0.498
322,Lil Jon & The East Side Boyz,2002,Get Low,0.78
323,B2K,2003,"Bump, Bump, Bump (feat. P. Diddy)",0.835
324,Baby Bash,2003,Suga Suga,0.662
325,Aaliyah,2002,Miss You - Main,0.602
326,Britney Spears,2003,Me Against the Music (feat. Madonna) - LP Version / Video Mix,0.804
327,Blue,2004,Sorry Seems To Be The Hardest Word,0.564
328,Delta Goodrem,2003,Lost Without You,0.581
329,Justin Timberlake,2002,Rock Your Body,0.892
330,The White Stripes,2003,Seven Nation Army,0.741
331,Youngbloodz,2003,Damn! (feat. Lil' Jon) - Club Mix,0.772
332,Beyoncé,2003,Baby Boy (feat. Sean Paul),0.655
333,Lil' Kim,2019,Magic Stick,0.849
334,Christina Aguilera,2002,Can't Hold Us Down (feat. Lil' Kim),0.859
335,Nickelback,2003,Someday,0.455
336,Blue,2003,U Make Me Wanna - Radio Edit,0.6
337,Ashanti,2003,Rain On Me,0.606
338,Trapt,2002,Headstrong,0.492
339,Simply Red,2008,Sunrise,0.791
340,Lumidee,2003,"Never Leave You (Uh Oooh, Uh Oooh)",0.811
341,Girls Aloud,2003,Sound Of The Underground,0.568
342,Nelly,2016,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,0.527
343,Room 5,2003,Make Luv,0.883
344,Fatman Scoop,2009,Be Faithful,0.649
345,Limp Bizkit,2003,Behind Blue Eyes,0.595
346,Sugababes,2003,Too Lost In You,0.586
347,50 Cent,2003,"Wanksta - From ""8 Mile"" Soundtrack",0.802
348,Pharrell Williams,2003,Frontin' (feat. Jay-Z) - Club Mix,0.894
349,Chingy,2003,Right Thurr,0.866
350,Eminem,2002,Sing For The Moment,0.668
351,Lil' Kim,2003,The Jump Off (feat. Mr. Cheeks) - Remix,0.853
352,Mýa,2003,My Love Is Like...Wo - Main Mix,0.831
353,50 Cent,2003,21 Questions,0.646
354,Nelly,2002,Air Force Ones,0.784
355,Missy Elliott,2002,Gossip Folks (feat. Ludacris),0.707
356,Girls Aloud,2003,Jump,0.658
357,Ultrabeat,2003,Pretty Green Eyes - Radio Edit,0.553
358,Christina Aguilera,2002,Fighter,0.435
359,Frankie J,2003,Don't Wanna Try,0.655
360,Snoop Dogg,2005,Beautiful,0.893
361,Floetry,2002,Say Yes,0.747
362,Ginuwine,2003,In Those Jeans,0.691
363,Electric Six,2003,Danger! High Voltage - Soulchild Radio Mix,0.66
364,Rachel Stevens,2003,Sweet Dreams My LA Ex - Radio Edit,0.85
365,Ludacris,2003,Stand Up,0.751
366,Nas,2002,I Can,0.837
367,3 Doors Down,2002,When I'm Gone,0.53
368,Tyrese,2002,How You Gonna Act Like That,0.733
369,Justin Timberlake,2002,Cry Me a River,0.624
370,Westlife,2003,Mandy,0.447
371,No Doubt,2003,It's My Life,0.612
372,Amanda Perez,2003,Angel,0.638
373,JAY-Z,2002,Excuse Me Miss,0.714
374,Coldplay,2002,Clocks,0.577
375,Kelly Rowland,2002,Stole,0.649
376,Missy Elliott,2002,Work It,0.884
377,Ashanti,2003,Rock Wit U (Awww Baby),0.71
378,Junior Senior,2002,Move Your Feet,0.747
379,Audioslave,2002,Like a Stone,0.614
